Title,LiveUrl,Total Units,Visitors,Page Views,Module Completed Rate,Module Started,Module Completed,Badges,Shared Badges,Module Hours Viewed,Module Avg Minutes per UV,Sum of Duration,Average Star rating,Total Rater,Sandbox Activate(Clicks),Sandbox Activate(Users),Products,Roles,Levels
Code-free transformation at scale with Azure Data Factory,https://docs.microsoft.com/en-us/learn/modules/code-free-transformation-scale/,10,"1,794","17,301",55.64%,"1,515",843,928,1,1073.33,35.89732441,58,4.064516129,31,,,azure-data-factory;azure-synapse-analytics,data-engineer;data-scientist,beginner
Introduction to Azure Data Factory,https://docs.microsoft.com/en-us/learn/modules/intro-to-azure-data-factory/,6,"2,529","15,610",47.30%,"1,780",842,860,23,839.8230556,19.92462765,35,4.82208589,163,,,azure;azure-data-factory,administrator;database-administrator,beginner
Describe Dynamics 365 Marketing capabilities,https://docs.microsoft.com/en-us/learn/modules/describe-dynamics-365-marketing-capabilities/,9,"1,399","13,317",67.12%,"1,247",837,873,2,667.9033333,28.64488921,38,4.672727273,55,,,dynamics-marketing,business-owner;business-user;functional-consultant;student,beginner
Introduction to building apps for Microsoft Teams,https://docs.microsoft.com/en-us/learn/modules/intro-microsoft-teams-apps/,6,"2,622","14,327",40.49%,"2,050",830,870,27,578.6788889,13.24207984,39,4.784810127,79,,,m365;office-teams,developer;devops-engineer,beginner;intermediate
Introduction to disability and accessibility,https://docs.microsoft.com/en-us/learn/modules/intro-accessibility-disability/,5,"1,613","10,058",57.46%,"1,441",828,741,16,256.4780556,9.540411242,31,4.80952381,84,,,m365,administrator;student,beginner
Introduction to machine learning,https://docs.microsoft.com/en-us/learn/modules/introduction-to-machine-learning/,9,"3,855","22,825",29.26%,"2,820",825,889,19,1549.973611,24.1241029,52,4.772727273,132,"1,561","1,161",azure,ai-engineer;data-scientist;student,beginner
Introduction to Azure Functions for IoT,https://docs.microsoft.com/en-us/learn/modules/intro-azure-functions-iot/,6,"1,048","7,532",86.11%,950,818,921,7,71.68583333,4.104150763,27,4.789473684,57,,,azure-iot-hub,ai-edge-engineer,beginner
Secure your Azure SQL Database,https://docs.microsoft.com/en-us/learn/modules/secure-your-azure-sql-database/,8,"1,608","12,736",64.97%,"1,259",818,894,6,568.5591667,21.21489428,67,4.526315789,38,764,516,azure;azure-portal;azure-sql-database,administrator;security-engineer,intermediate
Introduction to Azure Virtual Desktop,https://docs.microsoft.com/en-us/learn/modules/m365-wvd-intro/,6,"2,631","13,066",38.73%,"2,107",816,717,5,656.5191667,14.97193082,28,4.757142857,70,,,m365;azure;azure-virtual-desktop,administrator,intermediate
Introduction to MLOps for IoT Edge,https://docs.microsoft.com/en-us/learn/modules/intro-mlops-iot-edge/,6,971,"6,944",91.86%,884,812,884,5,57.7925,3.571112255,36,4.827586207,58,,,azure-iot-edge,ai-edge-engineer,beginner
Introduction to high-performance computing (HPC) on Azure,https://docs.microsoft.com/en-us/learn/modules/intro-to-hpc/,6,"1,580","9,665",70.74%,"1,145",810,899,12,468.9044444,17.80649789,50,4.828125,64,,,azure;azure-batch;azure-virtual-machines,solution-architect,beginner
Train and package an Azure machine learning module for deployment to IoT Edge device,https://docs.microsoft.com/en-us/learn/modules/train-package-module-iot-edge/,13,"1,019","14,070",88.07%,914,805,903,3,95.40166667,5.617369971,86,4.779661017,59,,,azure-iot-hub,ai-edge-engineer,intermediate
Introduction to Azure Sphere,https://docs.microsoft.com/en-us/learn/modules/intro-azure-sphere/,6,914,"6,703",91.91%,865,795,881,2,53.00166667,3.479321663,30,4.833333333,54,,,azure-iot-edge,ai-edge-engineer,beginner
Implement CI/CD for IoT Edge,https://docs.microsoft.com/en-us/learn/modules/implement-cicd-iot-edge/,8,971,"8,684",88.89%,891,792,883,3,61.27027778,3.786010985,54,4.75862069,58,,,azure-iot-edge,ai-edge-engineer,intermediate
