Title,LiveUrl,Total Units,Visitors,Page Views,Module Completed Rate,Module Started,Module Completed,Badges,Shared Badges,Module Hours Viewed,Module Avg Minutes per UV,Sum of Duration,Average Star rating,Total Rater,Sandbox Activate(Clicks),Sandbox Activate(Users),Products,Roles,Levels
Introduction to Azure fundamentals,https://docs.microsoft.com/en-us/learn/modules/intro-to-azure-fundamentals/,8,"156,636","1,167,503",33.84%,"143,670","48,625","43,718",644,58779.50472,22.51570701,43,4.803945916,"7,248",,,azure,administrator;developer;solution-architect;student,beginner
Discuss Azure fundamental concepts,https://docs.microsoft.com/en-us/learn/modules/fundamental-azure-concepts/,6,"80,763","562,191",61.67%,"64,427","39,729","40,601",440,25524.87611,18.96279938,24,4.821777967,"4,702",,,azure;azure-functions,administrator;developer;solution-architect;student,beginner
Describe core Azure architectural components,https://docs.microsoft.com/en-us/learn/modules/azure-architecture-fundamentals/,8,"65,886","590,005",54.83%,"57,028","31,266","33,927",501,36450.48972,33.19414418,34,4.774517181,"3,987","28,122","22,532",azure;azure-resource-manager,administrator;developer;solution-architect;student,beginner
Explore Azure compute services,https://docs.microsoft.com/en-us/learn/modules/azure-compute-fundamentals/,9,"57,308","530,512",48.56%,"54,244","26,343","26,090",166,34121.53861,35.72437211,52,4.773782431,"2,197",,,azure;azure-app-service;azure-container-instances;azure-container-registry;azure-kubernetes-service;azure-virtual-machines,administrator;developer;solution-architect;student,beginner
Explore Azure Storage services,https://docs.microsoft.com/en-us/learn/modules/azure-storage-fundamentals/,8,"30,061","279,320",71.18%,"26,937","19,174","20,590",80,8782.993333,17.53034164,27,4.772142316,"1,321",,,azure;azure-blob-storage;azure-files;azure-storage;azure-storage-accounts;azure-storage-explorer,administrator;developer;solution-architect;student,beginner
Protect against security threats on Azure,https://docs.microsoft.com/en-us/learn/modules/protect-against-security-threats-azure/,8,"36,903","324,935",54.04%,"34,568","18,682","18,980",179,15278.73194,24.84144695,25,4.813987022,"1,387","12,142","10,481",azure,administrator;business-owner;business-user;student;technology-manager,beginner
Explore Azure database and analytics services,https://docs.microsoft.com/en-us/learn/modules/azure-database-fundamentals/,10,"35,170","363,731",61.67%,"30,224","18,638","20,283",154,15392.8625,26.26021467,43,4.770375162,"1,546","11,631","10,157",azure;azure-cosmos-db;azure-data-lake;azure-databricks;azure-hdinsight;azure-sql-database;azure-synapse-analytics,administrator;developer;solution-architect;student,beginner
Explore Azure networking services,https://docs.microsoft.com/en-us/learn/modules/azure-networking-fundamentals/,7,"35,004","287,495",57.06%,"32,014","18,266","19,886",76,20119.96056,34.48741953,38,4.612585292,"1,319",,,azure;azure-expressroute;azure-virtual-network;azure-vpn-gateway,administrator;developer;solution-architect;student,beginner
Choose the best Azure IoT service for your application,https://docs.microsoft.com/en-us/learn/modules/iot-fundamentals/,8,"28,359","245,308",63.54%,"27,496","17,470","17,127",71,9338.35,19.7574315,27,4.824593128,"1,106",,,azure;azure-iot-central;azure-iot-hub,administrator;business-owner;developer;student;technology-manager,beginner
Get started building with Power BI,https://docs.microsoft.com/en-us/learn/modules/get-started-with-power-bi/,6,"92,645","377,815",28.83%,"56,625","16,323","13,154",227,16515.79056,10.69617824,40,4.799747315,"1,583",,,power-platform;power-bi,business-user;business-analyst;functional-consultant,beginner
Build a cloud governance strategy on Azure,https://docs.microsoft.com/en-us/learn/modules/build-cloud-governance-strategy-azure/,12,"30,553","347,321",59.31%,"26,092","15,474","16,875",177,16513.08444,32.42840528,48,4.773957571,"1,367",,,azure;azure-blueprints;azure-policy;azure-rbac,administrator;business-owner;business-user;developer;student;technology-manager,beginner
Plan and manage your Azure costs (AZ-900),https://docs.microsoft.com/en-us/learn/modules/plan-manage-azure-costs/,8,"25,343","205,092",64.94%,"23,154","15,037","15,451",92,10138.04556,24.00200187,43,4.835990888,878,,,azure,administrator;developer;business-owner;business-user;student;technology-manager,beginner
Choose the best AI service for your needs,https://docs.microsoft.com/en-us/learn/modules/ai-machine-learning-fundamentals/,8,"21,845","190,268",75.19%,"19,648","14,774","15,720",55,6877.688056,18.89042267,23,4.847758081,959,,,azure;azure-bot-service;azure-cognitive-services;azure-machine-learning,administrator;business-owner;developer;student;technology-manager,beginner
Secure access to your applications by using Azure identity services (AZ-900),https://docs.microsoft.com/en-us/learn/modules/secure-access-azure-identity-services/,6,"21,620","150,722",69.82%,"20,802","14,523","14,525",66,7586.818056,21.05499923,17,4.830188679,795,,,azure;azure-active-directory,administrator;developer;business-owner;business-user;student;technology-manager,beginner
Choose the best Azure serverless technology for your business scenario (AZ-900),https://docs.microsoft.com/en-us/learn/modules/serverless-fundamentals/,7,"19,567","158,089",77.41%,"18,251","14,128","15,455",52,5033.773333,15.43549854,20,4.819248826,852,,,azure;azure-functions;azure-logic-apps,administrator;developer;business-owner;student;technology-manager,beginner
Secure network connectivity on Azure (AZ-900),https://docs.microsoft.com/en-us/learn/modules/secure-network-connectivity-azure/,9,"21,903","211,783",68.18%,"19,927","13,587","14,815",78,10246.91889,28.06990519,34,4.811751904,919,"6,591","6,087",azure,administrator;developer;business-owner;business-user;student;technology-manager,beginner
Choose the best tools to help organizations build better solutions (AZ-900),https://docs.microsoft.com/en-us/learn/modules/azure-devops-devtest-labs/,8,"18,815","175,650",76.75%,"17,571","13,485","14,847",56,6067.571389,19.34915139,21,4.77700831,722,,,azure;azure-devops,administrator;developer;business-owner;student;technology-manager,beginner
Choose the best tools for managing and configuring your Azure environment (AZ-900),https://docs.microsoft.com/en-us/learn/modules/management-fundamentals/,10,"18,395","204,190",76.90%,"17,214","13,238","14,527",41,5954.123333,19.42089698,27,4.797752809,712,,,azure;azure-portal;azure-clis;azure-resource-manager,administrator;developer;business-owner;student;technology-manager,beginner
"Choose the best monitoring service for visibility, insight, and outage mitigation (AZ-900)",https://docs.microsoft.com/en-us/learn/modules/monitoring-fundamentals/,8,"17,908","167,774",76.54%,"17,017","13,025","14,342",8,4723.358333,15.82541322,22,4.822479929,"1,121",,,azure;azure-advisor;azure-monitor;azure-service-health,administrator;developer;business-owner;student;technology-manager,beginner
The Principles of Sustainable Software Engineering,https://docs.microsoft.com/en-us/learn/modules/sustainable-software-engineering-overview/,12,"22,050","352,674",70.17%,"18,043","12,660","9,400",78,5369.123333,14.60985941,33,4.806122449,"1,960",,,azure;dotnet;power-platform,developer;administrator;solution-architect;student;devops-engineer;data-scientist;data-engineer;database-administrator;ai-edge-engineer;ai-engineer;technology-manager,beginner
Get started with AI on Azure,https://docs.microsoft.com/en-us/learn/modules/get-started-ai-fundamentals/,10,"30,748","345,609",46.46%,"26,915","12,506","12,719",36,7498.139722,14.63146817,34,4.728330206,"2,665",,,azure-bot-service;azure-cognitive-services;azure-machine-learning,ai-engineer;data-scientist;student,beginner
"Examine privacy, compliance, and data protection standards on Azure",https://docs.microsoft.com/en-us/learn/modules/examine-privacy-compliance-data-protection-standards/,9,"16,365","165,780",75.14%,"15,163","11,393","12,413",8,5168.697778,18.95031266,27,4.790960452,885,,,azure,administrator;business-owner;business-user;developer;student;technology-manager,beginner
Choose the right Azure services by examining service-level agreements (SLAs) and service lifecycle (AZ-900),https://docs.microsoft.com/en-us/learn/modules/choose-azure-services-sla-lifecycle/,7,"15,630","128,420",74.46%,"14,576","10,853","11,819",13,5169.032778,19.84273619,27,4.834900731,957,,,azure,administrator;developer;business-owner;business-user;student;technology-manager,beginner
Discover data analysis,https://docs.microsoft.com/en-us/learn/modules/data-analytics-microsoft/,6,"28,969","172,817",36.08%,"26,946","9,721","8,059",110,10091.39889,20.90109888,36,4.810920945,"1,227",,,power-bi;power-platform,data-analyst,intermediate
Introduction to Power BI,https://docs.microsoft.com/en-us/learn/modules/introduction-power-bi/,8,"53,105","286,443",19.74%,"42,600","8,409","6,706",137,15663.66111,17.69738568,46,4.776299879,827,,,power-bi,business-analyst;business-user;functional-consultant;student,beginner
Introduction to Azure virtual machines,https://docs.microsoft.com/en-us/learn/modules/intro-to-azure-virtual-machines/,8,"18,728","116,435",58.49%,"14,120","8,259","9,276",98,4566.636389,14.63040278,67,4.764705882,731,1,1,azure;azure-virtual-machines,administrator;developer;solution-architect;student,beginner
Use automated machine learning in Azure Machine Learning,https://docs.microsoft.com/en-us/learn/modules/use-automated-machine-learning/,9,"17,657","178,497",54.78%,"14,636","8,017","8,556",148,4985.531944,16.94126503,45,4.673139159,618,,,azure-machine-learning,ai-engineer;data-scientist,beginner
Choose a data storage approach in Azure,https://docs.microsoft.com/en-us/learn/modules/choose-storage-approach-in-azure/,6,"14,081","101,911",66.78%,"11,944","7,976","8,378",50,4027.423889,17.16109888,30,4.777059774,619,,,azure;azure-storage;azure-sql-database;azure-cosmos-db,developer,beginner
Introduction to Microsoft Power Platform,https://docs.microsoft.com/en-us/learn/modules/introduction-power-platform/,7,"22,686","162,099",38.09%,"19,651","7,485","6,940",70,8580.736389,22.69435702,33,4.800505051,792,,,power-apps;power-automate;power-bi;power-platform,business-analyst;business-user,beginner
Create a Regression Model with Azure Machine Learning designer,https://docs.microsoft.com/en-us/learn/modules/create-regression-model-azure-machine-learning-designer/,10,"11,521","139,174",67.79%,"10,128","6,866","7,709",105,2720.409167,14.16756792,55,4.67209776,491,,,azure-machine-learning,ai-engineer;data-scientist,beginner
Create a classification model with Azure Machine Learning designer,https://docs.microsoft.com/en-us/learn/modules/create-classification-model-azure-machine-learning-designer/,10,"9,539","121,607",74.68%,"8,658","6,466","7,361",78,1754.597778,11.036363,60,4.728855721,402,,,azure-machine-learning,ai-engineer;data-scientist,beginner
Write your first C# code,https://docs.microsoft.com/en-us/learn/modules/csharp-write-first/,7,"19,976","127,309",35.80%,"17,982","6,438","5,104",42,3755.081944,11.27878037,17,4.891402715,884,,,dotnet,developer;student,beginner
Analyze images with the Computer Vision service,https://docs.microsoft.com/en-us/learn/modules/analyze-images-computer-vision/,5,"11,572","69,680",57.74%,"11,146","6,436","7,062",83,1334.746944,6.920568326,28,4.725543478,368,,,azure-cognitive-services,ai-engineer;data-scientist;developer;solution-architect;student,beginner
Create a Clustering Model with Azure Machine Learning designer,https://docs.microsoft.com/en-us/learn/modules/create-clustering-model-azure-machine-learning-designer/,10,"9,607","118,099",74.03%,"8,632","6,390","7,315",13,1361.351944,8.502250095,49,4.690515807,601,,,azure-machine-learning,ai-engineer;data-scientist,beginner
What is Microsoft 365?,https://docs.microsoft.com/en-us/learn/modules/what-is-m365/,7,"18,177","136,220",39.97%,"15,656","6,258","5,574",84,4457.189722,14.71262493,17,4.756944444,576,,,m365,administrator,beginner
Classify images with the Custom Vision service,https://docs.microsoft.com/en-us/learn/modules/classify-images-custom-vision/,6,"13,106","75,156",50.17%,"12,341","6,191","6,738",66,1041.235278,4.766833257,37,4.690217391,368,,,azure-cognitive-services,ai-engineer;data-scientist;developer;solution-architect;student,beginner
Configure Azure resources with tools,https://docs.microsoft.com/en-us/learn/modules/configure-azure-resources-tools/,7,"13,972","101,996",45.01%,"13,549","6,099","5,900",32,3308.946944,14.20962043,21,4.762605042,476,,,azure,administrator,beginner
Build a bot with QnA Maker and Azure Bot Service,https://docs.microsoft.com/en-us/learn/modules/build-faq-chatbot-qna-maker-azure-bot-service/,5,"9,569","62,355",70.60%,"8,275","5,842","6,510",2,973.1608333,6.101959452,29,4.745726496,468,,,azure-bot-service;azure-cognitive-services,ai-engineer;data-scientist;developer;solution-architect;student,beginner
Analyze text with the Text Analytics service,https://docs.microsoft.com/en-us/learn/modules/analyze-text-with-text-analytics-service/,5,"8,369","56,108",72.66%,"8,003","5,815","6,502",61,978.0547222,7.011982714,36,4.734824281,313,,,azure-cognitive-services,ai-engineer;data-scientist;developer;solution-architect;student,beginner
Introduction to Dataverse,https://docs.microsoft.com/en-us/learn/modules/introduction-common-data-service/,9,"13,856","119,981",47.86%,"12,127","5,804","5,765",29,6021.516944,26.07469809,37,4.774530271,479,,,common-data-service;power-platform,business-analyst;business-user,beginner
Detect and analyze faces with the Face service,https://docs.microsoft.com/en-us/learn/modules/detect-analyze-faces/,5,"7,569","53,181",81.13%,"7,138","5,791","6,575",55,641.2405556,5.083159378,24,4.712871287,303,,,azure-cognitive-services,ai-engineer;data-scientist;developer;solution-architect;student,beginner
Detect objects in images with the Custom Vision service,https://docs.microsoft.com/en-us/learn/modules/detect-objects-images-custom-vision/,5,"7,377","52,595",82.20%,"7,024","5,774","6,596",67,628.38,5.110858072,39,4.707006369,314,,,azure-cognitive-services,ai-engineer;data-scientist;developer;solution-architect;student,beginner
Analyze receipts with the Form Recognizer service,https://docs.microsoft.com/en-us/learn/modules/analyze-receipts-form-recognizer/,5,"7,209","51,683",82.55%,"6,854","5,658","6,512",6,481.0566667,4.003800805,24,4.701970443,406,,,azure-cognitive-services,ai-engineer;data-scientist;developer;solution-architect;student,beginner
Read text with the Computer Vision service,https://docs.microsoft.com/en-us/learn/modules/read-text-computer-vision/,5,"7,350","51,874",79.99%,"7,047","5,637","6,509",47,603.2019444,4.924097506,24,4.787985866,283,,,azure-cognitive-services,ai-engineer;data-scientist;developer;solution-architect;student,beginner
Explore core data concepts,https://docs.microsoft.com/en-us/learn/modules/explore-core-data-concepts/,6,"15,348","97,256",37.82%,"14,761","5,582","5,219",42,7993.550833,31.2492214,25,4.84,525,,,azure,administrator;business-user;data-engineer,beginner
Create a language model with Language Understanding,https://docs.microsoft.com/en-us/learn/modules/create-language-model-with-language-understanding/,5,"7,662","52,729",78.94%,"7,007","5,531","6,303",12,736.6308333,5.768448186,39,4.721052632,380,,,azure;azure-bot-service;azure-cognitive-services;azure-language-understanding;azure-sdks,ai-engineer;developer;solution-architect;student,intermediate
Get started with Power Apps canvas apps,https://docs.microsoft.com/en-us/learn/modules/get-started-with-powerapps/,9,"39,865","224,710",17.95%,"30,715","5,512","4,088",40,10861.26722,16.3470722,51,4.745886654,547,,,power-platform;power-apps,business-user;functional-consultant;maker,beginner
Recognize and synthesize speech,https://docs.microsoft.com/en-us/learn/modules/recognize-synthesize-speech/,5,"7,275","50,290",79.88%,"6,890","5,504","6,352",63,583.7275,4.814247423,29,4.726666667,300,,,azure;azure-cognitive-services;azure-sdks,ai-engineer;developer;solution-architect;student,intermediate
Translate text and speech,https://docs.microsoft.com/en-us/learn/modules/translate-text-with-translation-service/,5,"7,057","48,732",81.76%,"6,731","5,503","6,311",49,525.9477778,4.471711303,29,4.742753623,276,,,azure-cognitive-services,ai-engineer;data-scientist;developer;solution-architect;student,beginner
Introduction to Power Apps,https://docs.microsoft.com/en-us/learn/modules/introduction-power-apps/,6,"11,966","73,471",57.27%,"9,461","5,418","5,188",19,3015.467222,15.12017661,28,4.809876543,405,,,power-apps;power-platform,business-analyst;business-user;functional-consultant,beginner
Choose the best Azure service to automate your business processes,https://docs.microsoft.com/en-us/learn/modules/choose-azure-service-to-integrate-and-automate-business-processes/,7,"16,084","119,480",32.76%,"14,631","4,793","4,942",68,7442.631667,27.76410719,44,4.702205882,544,,,azure,developer,beginner
Get data with Power BI Desktop,https://docs.microsoft.com/en-us/learn/modules/get-data-power-bi/,9,"20,070","115,871",29.96%,"15,933","4,773","4,536",51,4370.063056,13.06446354,75,4.768240343,466,,,power-platform;power-bi,business-analyst;data-analyst,intermediate
Automate Azure tasks using scripts with PowerShell,https://docs.microsoft.com/en-us/learn/modules/automate-azure-tasks-with-powershell/,9,"9,701","86,787",59.97%,"7,921","4,750","5,296",39,4285.320278,26.50440333,71,4.765395894,341,"4,460","3,360",azure,developer;administrator,beginner
Create a Windows virtual machine in Azure,https://docs.microsoft.com/en-us/learn/modules/create-windows-virtual-machine-in-azure/,7,"13,430","78,793",44.63%,"10,549","4,708","5,158",50,1862.331389,8.320170017,51,4.773519164,287,"2,002","1,446",azure;azure-virtual-machines,administrator;developer;student,beginner
Create an Azure Storage account,https://docs.microsoft.com/en-us/learn/modules/create-azure-storage-account/,7,"14,849","176,836",37.30%,"12,593","4,697","5,364",19,4874.978056,19.69820751,30,4.848591549,284,"10,233","7,698",azure;azure-storage;azure-portal,administrator;developer;data-engineer;solution-architect,beginner
Explore roles and responsibilities in the world of data,https://docs.microsoft.com/en-us/learn/modules/explore-roles-responsibilities-world-of-data/,7,"7,739","60,431",67.93%,"6,831","4,640","4,756",24,2445.847778,18.96251023,16,4.912718204,401,,,azure,administrator;business-user;data-engineer,beginner
Control and organize Azure resources with Azure Resource Manager,https://docs.microsoft.com/en-us/learn/modules/control-and-organize-with-azure-resource-manager/,8,"9,933","69,512",61.92%,"7,489","4,637","5,119",57,2627.886111,15.87367026,46,4.797169811,424,,,azure;azure-resource-manager,solution-architect;administrator,intermediate
Secure your Azure resources with Azure role-based access control (Azure RBAC),https://docs.microsoft.com/en-us/learn/modules/secure-azure-resources-with-rbac/,8,"7,349","61,025",70.94%,"6,446","4,573","5,133",30,2111.319722,17.23760829,37,4.808118081,271,,,azure;azure-portal;azure-active-directory;azure-rbac,administrator;solution-architect;security-engineer,beginner
Create a Linux virtual machine in Azure,https://docs.microsoft.com/en-us/learn/modules/create-linux-virtual-machine-in-azure/,9,"9,866","81,253",54.96%,"8,179","4,495","4,920",88,3116.893056,18.95536016,86,4.73220339,295,"6,764","3,392",azure;azure-portal;azure-virtual-machines,administrator;developer;student,beginner
Introduction to Power Automate,https://docs.microsoft.com/en-us/learn/modules/introduction-power-automate/,6,"10,441","60,734",53.66%,"7,991","4,288","4,091",17,2343.273056,13.4657967,30,4.809885932,263,,,power-automate;power-platform,business-analyst;business-user;functional-consultant,beginner
Describe concepts of relational data,https://docs.microsoft.com/en-us/learn/modules/describe-concepts-of-relational-data/,6,"7,010","49,613",65.67%,"6,437","4,227","4,429",33,2952.840556,25.27395625,19,4.868589744,312,,,azure,administrator;business-user;data-engineer,beginner
How to build a canvas app,https://docs.microsoft.com/en-us/learn/modules/build-app-solution/,7,"10,039","67,387",47.29%,"8,683","4,106","4,239",18,3303.701944,19.74520537,56,4.790378007,291,,,power-apps;power-platform,business-analyst;business-user,beginner
Use Azure Resource Manager,https://docs.microsoft.com/en-us/learn/modules/use-azure-resource-manager/,10,"7,143","69,370",64.32%,"6,322","4,066","4,504",23,2907.398333,24.42165757,30,4.77027027,296,,,azure,administrator,beginner
Create Azure users and groups in Azure Active Directory,https://docs.microsoft.com/en-us/learn/modules/create-users-and-groups-in-azure-active-directory/,8,"8,485","63,154",62.29%,"6,393","3,982","4,403",17,2428.097222,17.16980947,41,4.838427948,229,"3,298","2,475",azure;azure-active-directory,administrator,beginner
Secure your Azure Storage account,https://docs.microsoft.com/en-us/learn/modules/secure-azure-storage-account/,8,"6,990","57,851",69.27%,"5,650","3,914","4,203",28,2409.201111,20.67983786,45,4.780172414,232,,,azure;azure-storage,administrator;data-engineer;solution-architect;security-engineer,beginner
Explore concepts of non-relational data,https://docs.microsoft.com/en-us/learn/modules/explore-concepts-of-non-relational-data/,6,"6,338","46,387",66.10%,"5,894","3,896","4,135",21,3307.511667,31.31124961,24,4.869230769,260,,,azure,administrator;business-user;data-engineer,beginner
Microsoft 365 productivity and teamwork solutions,https://docs.microsoft.com/en-us/learn/modules/microsoft-365-productivity-teamwork-solutions/,11,"6,819","72,002",66.35%,"5,861","3,889","4,165",26,2001.843333,17.61410764,25,4.801242236,322,,,m365;office-365,business-owner;business-user,beginner
Design your migration to Azure,https://docs.microsoft.com/en-us/learn/modules/design-your-migration-to-azure/,6,"8,679","59,534",65.40%,"5,931","3,879","4,196",64,2111.634444,14.59823328,44,4.752351097,319,,,azure,solution-architect,intermediate
Deploy Azure infrastructure by using JSON ARM templates,https://docs.microsoft.com/en-us/learn/modules/create-azure-resource-manager-template-vs-code/,7,"7,376","54,721",60.76%,"6,197","3,765","4,268",37,2941.636667,23.92871475,43,4.735682819,227,"2,800","2,317",azure;vs-code;azure-resource-manager;azure-storage-accounts,administrator;developer;solution-architect,beginner
Explore concepts of data analytics,https://docs.microsoft.com/en-us/learn/modules/explore-concepts-of-data-analytics/,6,"6,639","46,041",63.18%,"5,942","3,754","3,977",3,2416.7875,21.84173068,15,4.848648649,370,,,azure,administrator;business-user;data-engineer;student,beginner
Control Azure services with the CLI,https://docs.microsoft.com/en-us/learn/modules/control-azure-services-with-cli/,6,"8,930","109,681",47.12%,"7,808","3,679","4,229",16,2542.558611,17.08326054,34,4.84,250,"6,681","5,071",azure;azure-clis,developer;administrator;student,beginner
Get data in Power BI,https://docs.microsoft.com/en-us/learn/modules/get-data/,12,"14,912","132,578",26.16%,"13,907","3,638","3,687",20,8926.837222,35.91806822,85,4.715542522,341,,,power-bi;power-platform,data-analyst,intermediate
Configure resources with Azure Resource Manager templates,https://docs.microsoft.com/en-us/learn/modules/configure-resources-arm-templates/,7,"4,999","41,829",79.31%,"4,548","3,607","4,055",15,1341.888333,16.10588118,21,4.710144928,207,,,azure,administrator,beginner
How to build a model-driven app,https://docs.microsoft.com/en-us/learn/modules/how-build-model-driven-app/,8,"6,451","54,497",61.33%,"5,622","3,448","3,648",8,2838.218611,26.39794089,77,4.547511312,221,,,power-apps;power-platform,business-analyst;developer;maker,beginner
Allow users to reset their password with Azure Active Directory self-service password reset,https://docs.microsoft.com/en-us/learn/modules/allow-users-reset-their-password/,6,"4,892","34,181",78.27%,"4,368","3,419","3,785",17,1165.907222,14.29976152,31,4.776649746,197,"1,516","1,278",azure;azure-active-directory,administrator;solution-architect,beginner
How to build a simple dashboard,https://docs.microsoft.com/en-us/learn/modules/build-simple-dashboard/,8,"9,714","67,448",41.87%,"8,153","3,414","3,493",13,2155.725833,13.31516883,41,4.786069652,201,,,power-bi,business-analyst;business-user,beginner
"Engage employees with Microsoft Stream, Teams, and Yammer",https://docs.microsoft.com/en-us/learn/modules/engage-employees-with-microsoft-stream-teams-yammer/,9,"5,734","52,124",67.57%,"5,023","3,394","3,561",26,1961.963333,20.52978723,40,4.711297071,239,,,m365;office-365,business-owner;business-user,beginner
Introduction to Power Apps portals,https://docs.microsoft.com/en-us/learn/modules/introduction-power-apps-portals/,8,"6,135","49,129",65.50%,"5,116","3,351","3,506",12,2096.016944,20.49894322,46,4.724867725,189,,,power-apps;power-platform,business-analyst;developer;maker,beginner
Configure Azure Active Directory,https://docs.microsoft.com/en-us/learn/modules/configure-azure-active-directory/,9,"7,939","61,993",46.83%,"6,981","3,269","3,277",8,2615.647222,19.76808582,27,4.78125,160,,,azure,administrator,intermediate
How to build an automated solution,https://docs.microsoft.com/en-us/learn/modules/build-automated-solution/,8,"7,063","50,631",52.97%,"6,132","3,248","3,393",7,2476.226111,21.03547595,78,4.696428571,168,,,dynamics-365;dynamics-finance-operations;power-platform,business-user,beginner
Understand the evolving world of data,https://docs.microsoft.com/en-us/learn/modules/evolving-world-of-data/,6,"8,182","50,649",42.56%,"7,626","3,246","2,715",20,2802.639722,20.55223458,28,4.821428571,168,,,azure,data-engineer,beginner
"Clean, transform, and load data in Power BI",https://docs.microsoft.com/en-us/learn/modules/clean-data-power-bi/,10,"11,887","90,113",34.15%,"9,400","3,210","3,361",6,6296.477222,31.78166344,121,4.725446429,448,,,power-bi;power-platform,data-analyst,intermediate
Describe security concepts and methodologies,https://docs.microsoft.com/en-us/learn/modules/describe-security-concepts-methodologies/,9,"8,461","66,662",41.20%,"7,786","3,208","3,141",30,3555.144722,25.21081235,26,4.847280335,478,,,azure;m365,business-user;student,beginner
File storage and sharing with OneDrive and SharePoint,https://docs.microsoft.com/en-us/learn/modules/file-storage-sharing-with-onedrive-sharepoint/,5,"5,360","31,046",69.71%,"4,586","3,197","3,412",8,826.8272222,9.255528607,24,4.747663551,321,,,m365;office-365,business-owner;business-user,beginner
Get more done with Office across all devices,https://docs.microsoft.com/en-us/learn/modules/get-more-done-with-office-across-devices/,6,"4,637","31,883",77.58%,"4,006","3,108","3,393",23,1043.186667,13.49821005,19,4.779904306,209,,,m365;office-365,business-owner;business-user,beginner
Model data in Power BI,https://docs.microsoft.com/en-us/learn/modules/model-data-power-bi/,9,"10,974","69,175",40.00%,"7,765","3,106","3,140",27,3025.646667,16.54262803,67,4.730909091,275,,,power-platform;power-bi,business-analyst;data-analyst,intermediate
Store and retrieve data using literal and variable values in C#,https://docs.microsoft.com/en-us/learn/modules/csharp-literals-variables/,9,"6,070","56,586",58.80%,"5,282","3,106","3,178",23,2411.025556,23.83221307,26,4.871939736,531,,,dotnet,developer;student,beginner
Build and run a web application with the MEAN stack on an Azure Linux virtual machine,https://docs.microsoft.com/en-us/learn/modules/build-a-web-app-with-mean-on-a-linux-vm/,7,"4,699","30,721",75.96%,"4,030","3,061","3,337",39,625.9311111,7.992310421,42,4.707865169,178,675,383,azure;azure-virtual-machines;azure-cloud-shell,developer;student,beginner
Manage users and groups in Azure Active Directory,https://docs.microsoft.com/en-us/learn/modules/manage-users-and-groups-in-aad/,7,"6,726","43,557",60.00%,"5,080","3,048","3,380",25,2092.603611,18.66729359,50,4.802575107,233,,,azure;azure-active-directory,security-engineer;administrator,beginner
Introduction to Power Virtual Agents,https://docs.microsoft.com/en-us/learn/modules/introduction-power-virtual-agents/,5,"4,997","28,886",72.41%,"4,201","3,042","3,154",1,1060.435,12.73285972,22,4.805194805,154,,,power-apps;power-platform;power-virtual-agents,business-analyst;developer;maker,beginner
Introduction to Docker containers,https://docs.microsoft.com/en-us/learn/modules/intro-to-docker-containers/,6,"7,572","48,734",48.97%,"6,108","2,991","3,423",45,2538.531389,20.11514571,32,4.812720848,283,,,azure;azure-container-registry;azure-container-instances,developer;administrator;devops-engineer;solution-architect;student,beginner
Connect an app to Azure Storage,https://docs.microsoft.com/en-us/learn/modules/connect-an-app-to-azure-storage/,12,"6,355","75,275",56.37%,"5,301","2,988","3,302",9,2551.596944,24.09060844,65,4.664804469,179,"2,991","2,482",azure;azure-storage;azure-cloud-shell,developer,beginner
Secure and isolate access to Azure resources by using network security groups and service endpoints,https://docs.microsoft.com/en-us/learn/modules/secure-and-isolate-with-nsg-and-service-endpoints/,6,"5,204","35,941",67.74%,"4,390","2,974","3,251",20,1978.909722,22.81602293,43,4.824324324,148,"1,669","1,359",azure;azure-virtual-network,solution-architect;administrator;security-engineer,beginner
Describe the compliance management capabilities in Microsoft,https://docs.microsoft.com/en-us/learn/modules/describe-compliance-management-capabilities-microsoft/,9,"4,710","43,672",70.26%,"4,216","2,962","3,086",11,1397.727778,17.8054494,30,4.868965517,145,,,azure;m365,business-user;student,beginner
Explore relational data services in Azure,https://docs.microsoft.com/en-us/learn/modules/explore-relational-data-offerings/,8,"5,744","52,790",53.67%,"5,480","2,941","2,969",12,3925.883333,41.00853064,30,4.776470588,170,,,azure,administrator;business-user;data-engineer;student,beginner
Examine components of a modern data warehouse,https://docs.microsoft.com/en-us/learn/modules/examine-components-of-modern-data-warehouse/,5,"5,527","31,764",59.38%,"4,884","2,900","3,004",18,1948.062778,21.14777758,24,4.830601093,183,,,azure,administrator;business-user;data-engineer,beginner
Analyze your Azure infrastructure by using Azure Monitor logs,https://docs.microsoft.com/en-us/learn/modules/analyze-infrastructure-with-azure-monitor-logs/,5,"4,549","25,674",76.82%,"3,744","2,876","3,175",24,902.565,11.90457243,36,4.858024691,162,"1,020",973,azure;azure-monitor,solution-architect;administrator;security-engineer,beginner
Create serverless logic with Azure Functions,https://docs.microsoft.com/en-us/learn/modules/create-serverless-logic-with-azure-functions/,6,"9,617","85,402",34.47%,"8,303","2,862","3,311",22,4736.521389,29.55092891,36,4.72826087,276,"6,771","4,953",azure;azure-functions;azure-portal,developer;solution-architect;student,beginner
Create an Azure account,https://docs.microsoft.com/en-us/learn/modules/create-an-azure-account/,7,"11,244","51,522",42.80%,"6,680","2,859","2,929",17,1540.095833,8.218227499,39,4.870292887,239,,,azure;azure-portal,administrator;solution-architect;developer;security-engineer;student,beginner
